size_id,width,height,label
3672,36,72.0,"36"" x 72""(91 cm x 183 cm)"
3726,37,26.0,"37"" x 26""(94 cm x 66 cm)"
3728,37,28.0,"37"" x 28""(94 cm x 71 cm)"
3729,37,29.0,"37"" x 29""(94 cm x 74 cm)"
3730,37,30.0,"37"" x 30""(94 cm x 76 cm)"
3732,37,32.0,"37"" x 32""(94 cm x 81 cm)"
3735,37,35.0,"37"" x 35""(94 cm x 89 cm)"
3830,38,30.0,"38"" x 30""(97 cm x 76 cm)"
3847,38,47.0,"38"" x 47""(97 cm x 119 cm)"
3851,38,51.0,"38"" x 51""(97 cm x 130 cm)"
3926,39,26.0,"39"" x 26""(99 cm x 66 cm)"
3929,39,29.0,"39"" x 29""(99 cm x 74 cm)"
3931,39,31.0,"39"" x 31""(99 cm x 79 cm)"
3932,39,32.0,"39"" x 32""(99 cm x 81 cm)"
3934,39,34.0,"39"" x 34""(99 cm x 86 cm)"
3935,39,35.0,"39"" x 35""(99 cm x 89 cm)"
3939,39,39.0,"39"" x 39""(99 cm x 99 cm)"
3979,39,79.0,"39"" x 79""(99 cm x 201 cm)"
4020,40,20.0,"40"" x 20""(102 cm x 51 cm)"
4024,40,24.0,"40"" x 24""(102 cm x 61 cm)"
4026,40,26.0,"40"" x 26""(102 cm x 66 cm)"
4030,40,30.0,"40"" x 30""(102 cm x 76 cm)"
4032,40,32.0,"40"" x 32""(102 cm x 81 cm)"
4040,40,40.0,"40"" x 40""(102 cm x 102 cm)"
4060,40,60.0,"40"" x 60""(102 cm x 152 cm)"
4080,40,80.0,"40"" x 80""(102 cm x 203 cm)"
4120,41,20.0,"41"" x 20""(104 cm x 51 cm)"
4130,41,30.0,"41"" x 30""(104 cm x 76 cm)"
4236,42,36.0,"42"" x 36""(107 cm x 91 cm)"
4352,43,52.0,"43"" x 52""(109 cm x 132 cm)"
4382,43,82.0,"43"" x 82""(109 cm x 208 cm)"
4430,44,30.0,"44"" x 30""(112 cm x 76 cm)"
4434,44,34.0,"44"" x 34""(112 cm x 86 cm)"
4532,45,32.0,"45"" x 32""(114 cm x 81 cm)"
4534,45,34.0,"45"" x 34""(114 cm x 86 cm)"
4630,46,30.0,"46"" x 30""(117 cm x 76 cm)"
4635,46,35.0,"46"" x 35""(117 cm x 89 cm)"
4636,46,36.0,"46"" x 36""(117 cm x 91 cm)"
4639,46,39.0,"46"" x 39""(117 cm x 99 cm)"
4739,47,39.0,"47"" x 39""(119 cm x 99 cm)"
4824,48,24.0,"48"" x 24""(122 cm x 61 cm)"
4836,48,36.0,"48"" x 36""(122 cm x 91 cm)"
4848,48,48.0,"48"" x 48""(122 cm x 122 cm)"
4860,48,60.0,"48"" x 60""(122 cm x 152 cm)"
4872,48,72.0,"48"" x 72""(122 cm x 183 cm)"
4896,48,96.0,"48"" x 96""(122 cm x 244 cm)"
5063,50,63.0,"50"" x 63""(127 cm x 160 cm)"
5065,50,65.0,"50"" x 65""(127 cm x 165 cm)"
5135,51,35.0,"51"" x 35""(130 cm x 89 cm)"
5137,51,37.0,"51"" x 37""(130 cm x 94 cm)"
5138,51,38.0,"51"" x 38""(130 cm x 97 cm)"
5139,51,39.0,"51"" x 39""(130 cm x 99 cm)"
5264,52,64.0,"52"" x 64""(132 cm x 163 cm)"
5429,54,29.0,"54"" x 29""(137 cm x 74 cm)"
5436,54,36.0,"54"" x 36""(137 cm x 91 cm)"
5439,54,39.0,"54"" x 39""(137 cm x 99 cm)"
5468,54,68.0,"54"" x 68""(137 cm x 173 cm)"
5648,56,48.0,"56"" x 48""(142 cm x 122 cm)"
5691,56,91.0,"56"" x 91""(142 cm x 231 cm)"
5842,58,42.0,"58"" x 42""(147 cm x 107 cm)"
5845,58,45.0,"58"" x 45""(147 cm x 114 cm)"
5936,59,36.0,"59"" x 36""(150 cm x 91 cm)"
6030,60,30.0,"60"" x 30""(152 cm x 76 cm)"
6040,60,40.0,"60"" x 40""(152 cm x 102 cm)"
6048,60,48.0,"60"" x 48""(152 cm x 122 cm)"
6060,60,60.0,"60"" x 60""(152 cm x 152 cm)"
6451,64,51.0,"64"" x 51""(163 cm x 130 cm)"
6765,67,65.0,"67"" x 65""(170 cm x 165 cm)"
6854,68,54.0,"68"" x 54""(173 cm x 137 cm)"
6951,69,51.0,"69"" x 51""(175 cm x 130 cm)"
6952,69,52.0,"69"" x 52""(175 cm x 132 cm)"
6961,69,61.0,"69"" x 61""(175 cm x 155 cm)"
7048,70,48.0,"70"" x 48""(178 cm x 122 cm)"
7171,71,71.0,"71"" x 71""(180 cm x 180 cm)"
7236,72,36.0,"72"" x 36""(183 cm x 91 cm)"
7248,72,48.0,"72"" x 48""(183 cm x 122 cm)"
7761,77,61.0,"77"" x 61""(196 cm x 155 cm)"
7940,79,40.0,"79"" x 40""(201 cm x 102 cm)"
7955,79,55.0,"79"" x 55""(201 cm x 140 cm)"
7963,79,63.0,"79"" x 63""(201 cm x 160 cm)"
8040,80,40.0,"80"" x 40""(203 cm x 102 cm)"
8051,80,51.0,"80"" x 51""(203 cm x 130 cm)"
8959,89,59.0,"89"" x 59""(226 cm x 150 cm)"
9648,96,48.0,"96"" x 48""(244 cm x 122 cm)"
